"CT_site","Conservancy","X","Y","closed_lc","agri_lc","distance_to_water","popdens_log","n_days_sampled","livestock_pressure"
"NB22","Naboisho",750637.687931654,9846154.74812248,0.442396313364055,0,0.15,2.8442206724016,39,0.538461538461538
"NB50","Naboisho",768652.329583465,9854170.5710242,0.00930232558139535,0,0.570788940429688,2.27433007036955,39,0.41025641025641
"NB43","Naboisho",764654.532850325,9850180.52632334,0.182648401826484,0,0.632850708007813,2.72508830301817,35,0.0857142857142857
"NB42","Naboisho",762639.072206851,9850167.91089231,0,0,0.700357055664062,2.72290960752289,39,0.179487179487179
"NB36","Naboisho",762648.233493504,9848164.64518797,0.0454545454545455,0,0.766615966796875,2.47803549149921,39,0.153846153846154
"NB29","Naboisho",764656.849096031,9846171.83203667,0.292237442922374,0,1.35133264160156,2.66732899510349,21,0.19047619047619
"NB16","Naboisho",756642.151268241,9844168.85809374,0.0958904109589041,0,0.848528137207031,2.31604548187839,41,0.024390243902439
"NB08","Naboisho",756656.464422102,9842172.7856636,0.44131455399061,0,1.27561755371094,2.18707452234012,20,0.1
"NB03","Naboisho",756637.183977833,9840179.28008923,0.813636363636364,0,0.75,2.13491485614623,39,0.128205128205128
"NB07","Naboisho",754654.140618286,9842155.60445323,0.80365296803653,0,0.313209197998047,2.30305895715696,9,0
"NB15","Naboisho",754641.852309841,9844187.15281976,1,0,1.98022729492188,2.25775310367341,41,0.0975609756097561
"NB14","Naboisho",752666.118995105,9844170.34743255,0.857798165137615,0,0.06,2.58278302834498,23,0
"NB23","Naboisho",752636.300287486,9846151.83885437,0.304147465437788,0,0.391152130126953,2.51203825259531,33,0.333333333333333
"NB24","Naboisho",754611.067377635,9846143.61766318,0.71689497716895,0,1.27632287597656,2.44530604468854,40,0.15
"NB25","Naboisho",756629.805362118,9846154.62267926,0.726415094339623,0,0.595482971191406,2.31041339738348,40,0
"NB33","Naboisho",756661.145855945,9848172.37929242,0.0704225352112676,0,0.553172668457031,2.49807446385323,39,0.435897435897436
"NB31","Naboisho",752604.936799855,9848157.8603462,0.762557077625571,0,0.12,2.30689930361534,40,0.175
"NB32","Naboisho",754656.673936656,9848163.64613015,0.821100917431193,0,0.792590698242188,2.47140184052209,40,0.225
"NB41","Naboisho",754577.812315176,9850215.35934302,0.0136363636363636,0,1.72754162597656,2.63846210035532,38,0.0789473684210526
"NB40","Naboisho",752639.035138512,9850148.1739929,0.126168224299065,0,0.692603759765625,2.61425022105771,38,0.105263157894737
"NB45","Naboisho",752645.469453543,9852170.74376753,0,0,1.23146252441406,2.62731569718364,38,0.473684210526316
"NB48","Naboisho",752648.599688052,9854170.35650807,0,0,0.729931518554688,2.62596804256773,38,0.815789473684211
"NB39","Naboisho",750645.21237856,9850170.39913945,0.0045662100456621,0,0.201246124267578,2.68324647720676,38,0.736842105263158
"MN02","Mara North",735462.143594002,9857263.66212723,0,0,0.636396118164062,2.68119638390373,35,0.771428571428571
"MN04","Mara North",739398.014248855,9857216.59508037,0.200913242009132,0,0.402492248535156,2.30627487666328,16,0.6875
"MN05","Mara North",733370.98367262,9859180.80586738,0.0276497695852535,0,1.86603857421875,2.86531189836849,39,0.0512820512820513
"MN06","Mara North",735375.841806469,9859185.56399072,0,0,1.43405017089844,2.76893326128443,39,0
"MN07","Mara North",737401.597017424,9859128.53795812,0,0,2.11366967773438,2.67291915794018,39,0.615384615384615
"MN08","Mara North",739364.023905537,9859166.0530192,0.32579185520362,0,0.381837677001953,2.36133594979489,33,0.393939393939394
"MN09","Mara North",741307.164360871,9859197.0170112,0.149321266968326,0,0.787464294433594,2.99429483197831,39,0.692307692307692
"MN10","Mara North",729338.219215787,9861174.67197636,0.0950226244343891,0,0.755380676269531,3.28710310673659,10,0.2
"MN11","Mara North",731387.482049383,9861183.57412066,0.0045662100456621,0,0.560446228027344,2.87049156615005,39,0.128205128205128
"MN12","Mara North",733361.224206676,9861194.34863218,0,0,0.457930114746094,2.77887714065702,38,0
"MN13","Mara North",735371.426410681,9861131.76638171,0.236363636363636,0,1.00623059082031,2.79466159930838,26,0
"MN14","Mara North",737382.956249541,9861159.4517403,0.472727272727273,0,1.0495712890625,2.86866265505236,32,0.15625
"MN15","Mara North",739398.672127111,9861145.73405675,0.799086757990868,0,0.28460498046875,2.83992809908771,20,0.15
"MN16","Mara North",741374.510702651,9861140.21550731,0.273972602739726,0,0.496588348388672,3.19227636549121,40,0.025
"MN17","Mara North",743387.471182626,9861235.97469229,0.222727272727273,0,0,3.04575806532968,37,0.351351351351351
"MN18","Mara North",727383.089841704,9863196.99477666,0.752336448598131,0,0.12,3.95919522393442,11,0
"MN19","Mara North",729445.674995567,9863177.71721037,0.0599078341013825,0,0.234307495117187,3.23697285293224,39,0.846153846153846
"MN20","Mara North",731344.18498761,9863179.69517275,0.188073394495413,0,1.154123046875,2.92395650749741,23,0.304347826086957
"MN21","Mara North",733394.130928621,9863185.66709417,0.0904977375565611,0,0.276586334228516,2.75239477905109,21,0.238095238095238
"MN22","Mara North",735267.88935275,9863163.41114123,0.456221198156682,0,1.11162048339844,2.8321905934194,39,0.282051282051282
"MN23","Mara North",737342.807074712,9863177.86779589,0.410138248847926,0,1.27455871582031,2.95558101586425,39,0.743589743589744
"MN24","Mara North",739402.697877343,9863130.86539076,0.388127853881279,0,0.0848528137207031,3.07643759495773,9,0.555555555555556
"MN25","Mara North",741346.376065718,9863170.71972246,0.232876712328767,0,0.201246124267578,3.42120412297885,15,0
"MN26","Mara North",743360.198279719,9863173.13038141,0,0,1.43027966308594,3.31823422501141,3,0.666666666666667
"MN27","Mara North",727352.389245133,9865155.85054414,0.612903225806452,0,0.123693168640137,3.36856538006381,37,0.891891891891892
